Title,Description,Organization,Location,Type,Status,Tags,Expiry Date,Family Friendly,Remote,Added By,Admin Description,Giver Applications,Volunteers Required,Approved by Admin,Rejected by Admin
"I Wish to Prepare & Serve Meals at Dar Papa Frangisku!","Join a warm-hearted team in the final stages of food preparation and serving at Dar il-Hena in Birkirkara/Fleur-de-lys. You'll be plating, heating food, and preparing tables to provide meals to homeless individuals. The activity happens weekly on-site, fostering teamwork and care in a small group setting. Together, we create an inviting mealtime atmosphere, making each moment special for those in need.","Dar Papa Frangisku (Fondazzjoni Dar il-Hena)","Birkirkara, Malta",Ongoing,Active,"Anything with Food, Social/Care giving, Working as part of a team, Working Inside",2025-09-30,No,No,"admin@joyfromgiving.com","food, preparation, serving, heating, plating, tables, homeless, kitchen, Birkirkara, Fleur-de-lys, small groups, teamwork, care, meals, weekly, on-site, community support.",0,4,Yes,No
"I Wish to Share My Creativity Through Crafts","Unleash your creativity and inspire others by becoming a Crafts Teacher at the Building Bridges Foundation! Share your skills and passion for arts and crafts with individuals eager to learn and express themselves. This opportunity allows you to teach and guide participants through engaging projects, fostering creativity, confidence, and a sense of community. Whether you’re an experienced artist or simply love sharing your creative flair, your efforts will leave a lasting impact on those you teach. Join us in building bridges through art and make a difference one masterpiece at a time!","Building Bridges","Mosta, Malta",Ongoing,Active,"Arts and Culture, Working Inside, Working with people, Educational",2026-01-01,No,No,"admin@joyfromgiving.com","crafts teacher, Building Bridges Foundation, arts and crafts, creativity, teaching, crafting skills, artistic expression, community, mentoring, art projects, confidence building, teamwork, creative learning, hands-on activities, inspiring others.",1,4,Yes,No
"I Wish to Share My Hairdressing Talents to Make a Difference!","Make a meaningful difference in the lives of Dar Hosea residents in Birkirkara by offering your hairdressing skills. Help restore dignity and confidence through haircuts, styling, and care that truly brighten someone's day. By dedicating just a few hours a month, you can provide comfort, joy, and a renewed sense of pride to those who need it most. This task welcomes skilled hairdressers with a passion for helping others feel their best. Gather your tools, creativity, and kindness, and join us in this wonderful initiative. We’re looking for three volunteers who want to share their talents and build a positive connection with the community."," Dar Hosea","Birkirkara, Malta",Ongoing,Active,"Social/Care giving, Working Inside, Working with people",2025-11-30,No,No,"admin@joyfromgiving.com","hairdresser, Dar Hosea, Birkirkara, dignity, community, confidence building, haircuts, hairstyling, personal care, volunteering, skilled assistance, creativity, compassion, three volunteers, monthly service, uplifting.",0,3,Yes,No
"I Wish to Support Children’s Academic Growth!","Join a compassionate team supporting young children with their homework after school. By helping students in different locations around Malta, you’ll empower them to excel academically and grow in confidence. Sessions take place weekly and last a couple of hours, creating a consistent impact on their learning journey. This is a unique chance to contribute to the community and work alongside the Ikber Maghna Project team. Your guidance can shape bright futures in a supportive and encouraging environment. Come be part of something meaningful!","Optimist Club of Malta - IKBER MAGHNA PROJECT","Birgu, Malta",Ongoing,Active,"Children/Young people, Educational, Working Outdoors, Working Inside, Working with people, Working as part of a team",2025-03-31,No,No,"admin@joyfromgiving.com","homework help, after-school tutoring, children support, academic assistance, mentoring, Malta community service,educational support, student guidance, youth empowerment, tutoring sessions, homework club, children’s education, confidence building, learning support, community engagement, help kids learn, support children in school, Malta tutoring program.

",0,N/A,Yes,No
"I wish to support Lend a Hand projects in Africa through planning and administration work","Are you ready to make a meaningful impact? Join us in Swieqi, Malta, as a Volunteer Administration and Funding Assistant. By dedicating just a few hours each month, you’ll help our organization fund vital projects in Africa. Whether you’re skilled in planning or simply passionate about helping others, your contribution can change lives. Work closely with our team and share your talents to bring hope and support to communities in need. Your efforts will directly help improve the lives of others and create lasting positive change. Together, we can make a real difference.Are you passionate about making a difference and looking to gain valuable experience in administration and funding? Join our team as a Volunteer Administration and Funding Assistant!","Lend a Hand","Tal-Ibraġ, Is-Swieqi, Malta",Ongoing,Active,"Administration, Health and Human Services, Working Inside, Working with people, Working as part of a team",2025-06-30,No,Yes,"admin@joyfromgiving.com","Swieqi, Malta, fundraising, planning, volunteer opportunities, Africa projects, improving lives, talent sharing, nonprofit work, fundraising assistant, teamwork, community support, meaningful impact, helping others, fundraising events, local involvement.",0,5,Yes,No
"I Wish to Support OASI Residents on their Rehabilitation Journey","Join us in making a difference by accompanying residents of the OASI Rehabilitation Programme in Gozo during organized activities. You will assist our dedicated staff in creating meaningful experiences that uplift and inspire. The ideal volunteer is someone with sound values and a passion for helping others achieve positive change in their lives. Your presence can be the encouragement they need to keep going. Let’s work together to foster hope and growth in a supportive environment!","OASI Foundation GOZO","OASI Centre 5, Triq Wied Sara Victoria VCT 2963 Gozo ",Ongoing,Active,"Educational, Social/Care giving, Working with people, Working as part of a team",2025-02-28,No,No,"admin@joyfromgiving.com","accompanying, OASI, rehabilitation, Gozo, activities, assist, organized, help, improve, sound values, support, inspire, empower, volunteer, positive change, growth, hope, life circumstances, committed, teamwork",0,5,Yes,No
"I would like to assist in organizing the Sebh Bazaar.","The Sebh Bazaar is here to make a difference for families in need. We’re organizing a fundraising event to support the essential services offered to children and families. Your help is crucial to set up and arrange the Bazaar. You’ll work as part of a friendly team, making sure everything looks inviting and runs smoothly. This is an on-site task where your contribution will directly impact those who need it most. Bring along friends for a rewarding experience as you prepare a space that brings the community together. Together, we can create a wonderful event that inspires hope and support.","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Retail, Working Inside",2025-10-31,No,No,"admin@joyfromgiving.com","Bazaar organization, fundraiser setup, Sebh Bazaar, families in need, event preparation, team activity, on-site setup, working with people, organizing fundraising events, charity support, teamwork, community event, family-friendly, event organization, helping children and families, arranging a bazaar, making a difference, assisting in fundraising",0,5,Yes,No
"I would like to assist with administrative tasks for Bee Savers Malta.","Join Bee Savers Malta in a vital administrative role! Help coordinate activities to protect Malta’s bees. Your involvement will ensure our initiatives run smoothly, creating lasting change for our environment. Whether handling data, organizing schedules, or supporting logistics, every action you take will contribute to saving bees. Be part of a meaningful cause and make a tangible difference with our dedicated team.","Bee Savers Malta ","Malta",Ongoing,Active,"Administration, Educational, Animal care, Working Inside",2025-07-31,No,Yes,"admin@joyfromgiving.com","bee conservation, administrative support, office tasks, coordination, logistics, scheduling, environmental action, Bee Savers Malta, support team, environmental protection, sustainable initiatives, teamwork, admin role, eco-friendly tasks, Malta, volunteer support.",0,3,Yes,No
"I Would Like to Help Maintain a Clean Home for the Kids!","Step into a fulfilling role by helping maintain the welcoming atmosphere at Dar Santa Tereza in Zurrieq. Assist the nuns with simple day-to-day cleaning tasks in their residential home. This is a meaningful way to contribute to a serene and caring environment for those who call this home. Whether you can commit regularly or just once, your support will make a lasting impact on the lives of the residents. Join us on-site for a rewarding experience of kindness, care, and community spirit.

"," Dar Santa Tereza","Żurrieq, Malta",Ongoing,Active,"Children/Young people, Social/Care giving, Working with people",2025-06-30,No,No,"admin@joyfromgiving.com","cleaning, residential home, Dar Santa Tereza, Zurrieq, helping nuns, maintenance, community support, team spirit, daily cleaning, social service, health and human services, working indoors, family-friendly, seniors support, care giving, on-site, Malta, support for others, kindness, compassion, day-to-day cleaning.",0,3,Yes,No
"I Would Like to Inspire Young Minds in Valletta!","Join us in making a difference in the lives of young children in Valletta! We’re looking for enthusiastic individuals to help with after-school homework sessions. Your guidance can spark confidence, foster learning, and support academic success. Sessions are conducted regularly in a welcoming environment that encourages growth and joy. This is a fulfilling opportunity to engage with children and help them achieve their goals. If you love working with kids and have a passion for education, this is the perfect way to make an impact!","Optimist Club of Malta - IKBER MAGHNA PROJECT","Valletta, Malta",Ongoing,Active,"Educational, Children/Young people, Working with people, Working as part of a team, Working Inside",2025-05-30,No,No,"admin@joyfromgiving.com","homework help, tutoring, Valletta, children, education, after-school, academic support, Malta, confidence building, mentoring, inspiring kids, regular sessions, educational help, study assistance, team engagement, family-friendly task, Ikber Maghna Project.",0,7,Yes,No
"I Would Like to Lend a Helping Hand at Dar Papa Frangisku!","Be part of a caring community at Dar Papa Frangisku by assisting with general help duties. From organizing spaces to lending a hand in daily operations, your contribution will make a significant difference. This activity occurs weekly on-site in Birkirkara/Fleur-de-lys, fostering teamwork and community spirit. Join a small, dedicated group and bring a positive impact to those in need.","Dar Papa Frangisku (Fondazzjoni Dar il-Hena)","Birkirkara, Malta",Ongoing,Active,"Anything with Food, Social/Care giving, Working as part of a team, Working Inside",2025-07-31,No,No,"admin@joyfromgiving.com","general help, duties, organizing, assistance, daily tasks, community, teamwork, Birkirkara, Fleur-de-lys, weekly, on-site, support, small groups, positive impact.",0,5,Yes,No
"I would like to support Sebh by maintaining their vehicles","Help Sebh continue its vital work by keeping their service vehicles clean and ready to go. This hands-on task is a great way to make a real impact while working as part of a supportive team. You’ll assist with cleaning and organizing the vehicles that are used to provide essential services to children and families in need. This is an on-site activity, and no special skills are required – just a willingness to help and a positive attitude. Bring along a friend to make the experience more fun and rewarding. Your effort ensures that Sebh can keep moving forward for those who need them most. ","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Maintenance, Working Outdoors, Working alone, Family Friendly",2025-12-30,Yes,No,"admin@joyfromgiving.com","Vehicle cleaning, cleaning service cars, vehicle maintenance, helping Sebh, charity support, team activity, working on-site, organizing vehicles, making a difference, teamwork, cleaning and maintaining vehicles, family-friendly, physical task, car cleaning, supporting children and families, assisting in maintenance",0,3,Yes,No
"I would like to support Sebh with donation records","Help Sebh make a difference by assisting in donation registration. This task is ideal for someone with an office administration background who enjoys organizing and managing records. Your role will involve accurately registering donations, helping the Foundation stay organized and ensuring smooth operations. This on-site task requires attention to detail and basic administrative skills. You’ll be part of a supportive environment, where your efforts directly contribute to the services Sebh offers to families and children in need. If you enjoy structured tasks and making an impact, this is the perfect opportunity to help.","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Administration, Social/Care giving",2025-09-30,No,No,"admin@joyfromgiving.com","Donation registration, office administration, data entry, record-keeping, organizing donations, assisting Sebh, on-site office tasks, attention to detail, administrative support, charity assistance, working indoors, structured tasks, supporting children and families, office organization, managing records, donation tracking, efficient record registration",0,2,Yes,No
"I would like to support young athletes in frame football!","Join us in creating an inclusive and uplifting environment for young persons with disabilities through frame football. Sessions take place once a week in the evening, offering an engaging and rewarding experience for both the participants and volunteers. You'll help facilitate games and training sessions, ensuring everyone feels supported and included. Youths are welcome to join as well, so bring your energy and enthusiasm to the pitch! This is a fantastic opportunity to connect with others, promote teamwork, and make a meaningful impact through sports. Join our team and help young athletes shine."," Frame Football Malta","Kirkop, Malta",Ongoing,Active,"Children/Young people, Seniors and People with Disabilities, Social/Care giving, Sports and Recreation, Working as part of a team, Working Inside, Working with people",2025-10-30,No,No,"admin@joyfromgiving.com","frame football, football training, sports inclusion, youth sports, young persons with disabilities, team sports, accessible football, facilitating games, weekly sports sessions, inclusive sports, disability support, teamwork, fun-filled training, football facilitation, empowering youth, recreational sports, sports volunteering, disability-friendly sports",0,5,Yes,No
"I Would Love to Create Social Buzz for Bees!","We are excited to invite you to join the Bee Savers Organisation as a volunteer social media content creator! Our mission to protect and support bee populations relies on spreading awareness and engaging our community. Your creative skills can help us reach a wider audience and inspire more people to join our cause.

How You Can Help: We are looking for talented volunteers to create engaging content for our social media platforms. Your work will play a crucial role in raising awareness about our projects, events, and the importance of bees in our ecosystem.","Bee Savers Malta ","Malta",Ongoing,Active,"Environmental, Working Inside, Working alone, Animal care",2025-10-30,No,Yes,"admin@joyfromgiving.com","bees, bee conservation, social media, content creation, remote tasks, environmental awareness, creativity, awareness campaigns, Bee Savers Malta, eco-friendly, online engagement, content design, storytelling, environmental projects, family-friendly, digital media, raising awareness.",0,N/A,Yes,No
"I’d like to help out with the laundry at Dar Santa Tereza!","This is an ongoing opportunity to lend a helping hand at Dar Santa Tereza, a warm residential home for kids in Zurrieq. Your role will involve helping with laundry for a few hours a week, making a significant impact on daily operations. This task is ideal for those who enjoy contributing behind the scenes to support a nurturing environment for children. Whether you're local or nearby, your dedication will directly benefit the kids who call this place home. Bring a friend to share the experience—this activity welcomes two volunteers and values teamwork. Join us to make a meaningful difference!"," Dar Santa Tereza","Żurrieq, Malta",Ongoing,Active,"Children/Young people, Social/Care giving, Working with people",2025-09-30,No,No,"admin@joyfromgiving.com","laundry, residential home, Dar Santa Tereza, kids, Zurrieq, family support, childcare assistance, ongoing task, teamwork, house chores, laundry care, social services, helping children, community service, housekeeping, residential care, supportive tasks, regular help, Malta.",0,1,Yes,No
"I’d Like to Mentor Youth with SPARK15!","Join SPARK15 in an inspiring mission to mentor young immigrants and refugees. As a mentor, you’ll support them in their educational journeys and assist with various needs they may have. This ongoing commitment in Valletta requires just a few hours each week. It’s a rewarding opportunity to make a difference, build connections, and create a positive impact in their lives. If you’re compassionate and eager to help, this role is perfect for you. Let’s make a meaningful change together!"," SPARK15","Valletta, Malta",Ongoing,Active,"Children/Young people, Seniors and People with Disabilities, Working as part of a team, Working Inside, Working with people, Educational",2025-06-30,No,No,"admin@joyfromgiving.com","mentoring, educational support, youth empowerment, SPARK15, refugees, immigrants, Valletta, ongoing support, compassionate, education guidance, weekly commitment, mentoring youth, assisting refugees, young people, building futures, helping hands, social impact, Malta initiatives, inclusive mentorship.",0,4,Yes,No
"I’d love to assist elderly friends during outings","Accompany and support the elderly during outings organized by Casa Leone XIII. Join our friendly staff to ensure each outing is safe, comfortable, and filled with joy. You’ll help create cherished moments and meaningful connections with senior residents while exploring the community together. This family-friendly opportunity is a wonderful way to make a positive difference in the lives of others. Let’s bring warmth, smiles, and companionship to those who need it most."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Working with people, Seniors and People with Disabilities",2025-05-31,No,No,"admin@joyfromgiving.com","elderly, seniors, outings, retirement home, Casa Leone XIII, companionship, caregiving, joy, community, safe outings, family-friendly, assisting, helping seniors, senior support, elder care, memorable moments, volunteer activities with elders, social care.",0,5,Yes,No
"I’d Love to Enrich Lives Through Art at Casa Leone XIII","Bring your creativity and energy to Casa Leone XIII retirement home! We are organizing art sessions that aim to brighten the lives of the residents through the power of art. These activities allow participants to engage, express, and create in a supportive and welcoming environment. The sessions are held on-site and require just a few hours of your time. This is a one-time opportunity to make a meaningful connection and inspire smiles through the beauty of art. Whether you’re experienced in art or simply passionate about bringing joy, your contribution will leave a lasting impression."," Casa Leone XIII - Retirement Home","Casa Leone XIII, Triq il-Qalb ta' Gesu, Sliema ",Ongoing,Active,"Help individuals in need., Improve the lives of others., Working with people, Arts and Culture, Seniors and People with Disabilities",2025-08-30,No,No,"admin@joyfromgiving.com","art, creativity, art sessions, retirement home, Casa Leone XIII, on-site, one-time activity, community engagement, painting, drawing, seniors, enriching lives, expressive art, arts and crafts, artistic expression, joyful activity, resident care.",0,2,Yes,No
"I’d Love to Read and Connect at Casa Leone","Reading has the power to transport listeners to different worlds, and Casa Leone XIII is inviting you to share this magic with their elderly residents. Whether in Maltese or English, your voice can bring comfort, entertainment, and connection to those who love hearing stories, poetry, or the latest news. This is a wonderful opportunity to sit, read, and connect, bringing warmth and joy to the residents. You don’t need professional experience—just a love for reading and a willingness to share your time and voice. Together, let’s create moments of tranquility and engagement."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Help individuals in need., Seniors and People with Disabilities, Working with people",2025-11-30,Yes,No,"admin@joyfromgiving.com","reading, Casa Leone XIII, retirement home, storytelling, elderly residents, Maltese reading, English reading, sharing stories, community engagement, senior care, emotional connection, reading aloud, meaningful moments, poetry, news, literature.",0,4,Yes,No
"I’d Love to Share My Passion for Cooking with Casa Leone XIII","If you love cooking and enjoy sharing that passion with others, this is the perfect opportunity for you! Casa Leone XIII is organizing cooking sessions to engage and delight its elderly residents. You don’t need to be a Master Chef—just bring your love for food and a willingness to create meaningful connections. Together, you'll prepare simple, delicious meals, enjoy warm conversations, and make memories that will nourish both hearts and spirits. Your time and energy in the kitchen will bring smiles and a sense of togetherness to these wonderful residents."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Help individuals in need., Working with people, Seniors and People with Disabilities",2025-10-31,No,No,"admin@joyfromgiving.com","cooking, food, Casa Leone XIII, retirement home, culinary sessions, elderly residents, cooking with seniors, food sharing, kitchen, community engagement, joy through cooking, culinary activities, meaningful connections, cooking passion, bringing smiles, senior care, one off ",0,6,Yes,No
"I’d Love to Spark Joy Through Crafts at Casa Leone","Do you enjoy working with your hands and sharing your creativity with others? Casa Leone XIII is hosting craft sessions to bring joy and engagement to its elderly residents. This is a chance to create something beautiful together, whether it's simple decorations, handmade gifts, or personalized projects. Your time and enthusiasm will provide a warm, interactive experience, sparking smiles and fostering a sense of accomplishment. No professional skills are needed—just a love for crafting and connecting. Join us in making a meaningful difference, one craft at a time."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Help individuals in need., Arts and Culture, Seniors and People with Disabilities",2025-09-30,Yes,No,"admin@joyfromgiving.com","crafts, Casa Leone XIII, retirement home, craft sessions, elderly residents, handmade projects, arts and crafts, creative engagement, community, crafting joy, senior care, personalized projects, meaningful connections, creative activity, handmade gifts, elderly well-being.",0,3,Yes,No
"Inspire Creativity as a Volunteer Music Tutor!","Unleash your passion for music by becoming a volunteer Music Tutor in Xaghjra! Dedicate a few hours each week to help children or young enthusiasts discover the joy of music. From teaching basic music theory to guiding practice on instruments, your role will nurture their creativity and confidence. This on-site opportunity is perfect for those with musical skills who love inspiring others and fostering a love for the arts. Whether you're an experienced musician or simply passionate about teaching, your dedication will make a lasting impact. Join us in shaping the next generation of musicians and bring harmony to their world.","Salesian Sisters Malta","Xgħajra, Malta",One-time,Active,"Children/Young people, Educational, Social/Care giving, Working Inside, Sports and Recreation, Working with people, Working as part of a team",2025-08-30,Yes,No,"admin@joyfromgiving.com","music tutor, music lessons, Xaghjra, volunteer, arts education, youth development, community, creativity, on-site, instrument teaching, music theory, mentoring, inspiring children, musical growth, sharing skills, building confidence.",0,3,Yes,No
"Inspire Senior Citizens with Your Passion and Knowledge!","Join us in making a difference in the lives of Malta’s senior citizens. Nanniet Malta organizes regular group meetings in various locations, providing a platform to connect, learn, and grow. We are looking for passionate individuals to deliver engaging and informative presentations on topics like health, finances, crafts, exercise, and more. Bring your unique expertise or passion to inspire and uplift the community. These events are a wonderful way to share your knowledge and build meaningful connections. Whether you prefer to speak on your own or collaborate, your contribution will leave a lasting impact on these gatherings"," Nanniet Malta - Grandparents Malta","Malta",One-time,Active,"Seniors and People with Disabilities, Educational, Sports and Recreation, Working Inside, Working with people",2025-05-30,No,No,"admin@joyfromgiving.com","senior citizens, Malta, Nanniet Malta, presentations, health talks, financial advice, crafts, exercise, group meetings, elderly, sharing knowledge, community engagement, educating seniors, Malta events, seniors enrichment, inspiring talks, engaging seniors.",1,N/A,Yes,No
"IVY – Interrupting Violence Towards Youth - Media Volunteer","Are you knowledgeable in media and equipment for publishing photos, videos, and podcasts on
social media platforms? And have a passion for social activism?
JOIN OUR YOUTH GROUP, IVY! – Interrupting Violence Towards Youth (IVY) is a youth initiative
taking a powerful stance against intimate partner and domestic violence experienced by young
individuals. The mission is to raise awareness, interrupt the cycle of abuse, and empower youth fora safer future. IVY does so through informal education and information spread on our social media
platforms (Facebook and Instagram at the moment) and, events/activities organized in
collaboration with other entities.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Administration, Children/Young people, Social/Care giving, Working Inside, Working alone, Working as part of a team, Educational",2025-01-31,No,Yes,"admin@joyfromgiving.com","",1,N/A,Yes,No
"IVY – Interrupting Violence towards Youth – Events/activities Volunteer","Do you have a passion for youth social activism?
JOIN OUR YOUTH GROUP, IVY! – Interrupting Violence towards Youth (IVY) is a youth initiative
taking a powerful stance against intimate partner and domestic violence experienced by young
individuals. The mission is to raise awareness, interrupt the cycle of abuse, and empower youth for
a safer future. IVY does so through informal education and information spread on our social media
platforms (Facebook and Instagram at the moment) and, events/activities organized in
collaboration with other entities.
Your involvement in these events/activities would cover the following: assist IVY in preparing for
the event/activity, be present at the event/activity and be delegated tasks (e.g., photography,
videos, networking, setting up etc.).","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Children/Young people, Educational, Social/Care giving, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Join hands in making stray cats happy at Luqa's Cat Cafe","Spend a few hours each week caring for stray cats at the Cat Cafe shelter in Luqa. This ongoing family-friendly opportunity is perfect for cat lovers who want to make a difference. You'll be providing much-needed care and attention to stray cats, creating a welcoming environment for them. Whether you're an individual or want to involve your family, this is a rewarding experience. Join us in making a meaningful impact on the lives of these lovely creatures.

","CatCafe Malta","Luqa, Malta",Ongoing,Active,"Animal care, Working Outdoors, Working alone, Family Friendly",2026-01-01,Yes,No,"admin@joyfromgiving.com","cat care, stray cats, shelter cats, Cat Cafe, Luqa, animal care, family-friendly activity, ongoing task, cat lovers, animal shelter, caring for animals, stray animal support, feline care, community service, Luqa activities, cat well-being.",1,5,Yes,No
"Join Us in Creating Fun and Learning for Kids after school hours!","Step into a rewarding role as an Afterschool Activity Assistant in Xaghjra! Dedicate just a few hours a week to help children thrive academically and socially. From guiding students with their homework to organizing enriching and fun activities, your support will spark joy and learning in young hearts. This on-site opportunity is perfect for individuals who love working with children, fostering creativity, and making meaningful connections. No special skills are required—just a warm personality and a passion for uplifting young minds. Join us in creating a nurturing environment where kids can excel and feel supported. Together, we can build a brighter future for our community.

","Salesian Sisters Malta","Xgħajra, Malta",Ongoing,Active,"Children/Young people, Educational, Working as part of a team, Working with people, Working Inside, Working Outdoors",2025-08-31,No,No,"admin@joyfromgiving.com","Afterschool, education, homework help, children, activities, Xaghjra, youth development, community, on-site, teamwork, creativity, engagement, child support, fun learning, social impact, student mentoring.",0,5,Yes,No
"Join Us in Protecting Malta’s Wildlife!","At Nature Trust (Malta), we're on a mission to preserve Malta's unique ecosystems. Our team is expanding, and we're calling on passionate individuals to help in removing invasive species and rescuing animals. Your skills, dedication, and energy can make a tangible difference. Whether you're a nature lover, skilled in ecological work, or simply someone eager to contribute, this is your chance to protect Malta’s biodiversity. Join us in this meaningful journey, where each step taken helps restore the beauty and balance of nature. Together, we’ll safeguard Malta’s most precious places for generations to come.

","Nature Trust","Wied Ghollieqa Environment Centre, carpark 1 University Ring Rd, San Ġwann, Malta",Ongoing,Active,"Environmental, Animal care, Working Outdoors",2025-06-30,No,No,"admin@joyfromgiving.com","invasive species removal, Malta conservation, animal rescue, biodiversity protection, nature trust, habitat restoration, environmental action, wildlife protection, sustainable Malta, community involvement, ecological preservation, nature care.",0,N/A,Yes,No
"Literacy Tutors","Assisting immigrants in developing their literacy skills.  ","Jesuit Refugee Services","Floriana, Malta",One-time,Active,"Educational, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Literacy Tutors","We are seeking passionate volunteers to help individuals in our services improve their reading and writing skills. Your support will make a significant impact on their lives, empowering them to achieve their full potential."," YMCA","Msida, Malta",Ongoing,Active,"Educational, Social/Care giving, Working Inside, Working as part of a team, Working with people",2025-04-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Make a difference by supporting Cat Cafe’s fundraising events!","Help the Cat Cafe shelter make a difference by assisting with their fundraising events. Your role will involve supporting preparations and being actively involved during the events. These activities directly contribute to the care and well-being of the stray cats at the shelter. It's a wonderful opportunity to be part of a cause, meet like-minded people, and have fun while making a meaningful impact. Join us in creating a brighter future for these furry friends.","CatCafe Malta","Marsa, Malta",One-time,Active,"Retail, Animal care, Working with people, Working Inside, Working as part of a team",2026-01-01,No,No,"admin@joyfromgiving.com","fundraising, event assistance, Cat Cafe, animal care, stray cats, Luqa, charity event, teamwork, community service, animal welfare, event preparation, engaging activity, shelter support, cat lovers, nonprofit fundraising, making an impact.
",0,5,Yes,No
"Mini Van transport","We are seeking a dedicated volunteer with a minibus to help take the children from our residential home on fun and educational outings during weekends. Your support will provide the children with enriching experiences and memorable adventures. The children are accompanied by adults.  ","St Rita Home Tarxien","Tarxien, Malta",One-time,Active,"Children/Young people, Family Friendly, Social/Care giving, Working Outdoors, Working with people",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Mtarfa Scouts - Leaders","The Mtarfa Scout group is looking for dedicated volunteers to assist in the organisation and running of the group.  Meetings are held on a weekly basis.  ","Mtarfa Scout Group","Mtarfa, Malta",Ongoing,Active,"Children/Young people, Working with people, Working as part of a team, Educational",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Nature Trust - beach patrol for turtle nests during the summer period","Joining Nature Trust team in the beach patrol for turtle nests during the summer period.  ","Nature Trust","Malta",Ongoing,Active,"Animal care, Environmental, Working Outdoors, Working as part of a team",2025-06-03,Yes,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Numeracy Tutors","Helping service users at JRS to develop their numeracy skills by teaching basic mathematics.  ","Jesuit Refugee Services","Floriana, Malta",Ongoing,Active,"Educational, Working Inside, Social/Care giving, Working with people, Working as part of a team",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Office Work assistant ","Assisting our team in basic office work related to the participation of persons with disability in the Paralympics.  ","Physically Disabled Rehab Fund"," Physically Handicapped Rehabilitation Fund Rehabilitation Centre Telgha ta’ Kordin , Paola, Malta",Ongoing,Active,"Administration, Seniors and People with Disabilities",2025-03-31,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Photo Editor","YMCA are looking for dedicated and creative volunteers to assist with photo editing.  Photos will be eventually be used on social media.  "," YMCA","Valletta, Malta",Ongoing,Active,"Administration, Arts and Culture, Working Inside, Working alone",2025-06-30,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Planting and Nursery tasks at Wied Ghollieqa","Giving a hand at the Tree Nursery at Wied Ghollieqa –  indigenous trees and shrubs.","Nature Trust","Triq Wied Ghollieqa, San Ġwann, Malta",Ongoing,Active,"Environmental, Working Outdoors",2025-02-28,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Planting new trees! ","Participating in the Grow10Trees project by assisting in general nursery duties and planting new trees to be later planted in public open spaces.  "," grow10trees","Birkirkara, Malta",Ongoing,Active,"Family Friendly, Environmental, Working Outdoors, Working with people, Working as part of a team",2025-02-28,Yes,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Podcast Production ","We are seeking enthusiastic volunteers to help us produce and manage podcasts for our organization. Your contribution will be vital in spreading our message and engaging with our community."," YMCA","Msida, Malta",Ongoing,Active,"Arts and Culture, Social/Care giving, Working Inside, Working as part of a team",2025-04-30,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Project Management","We are seeking experienced and enthusiastic volunteers to assist with project management tasks at our organization. Your expertise will help us efficiently plan, execute, and complete various projects that support our mission."," YMCA","Valletta, Malta",Ongoing,Active,"Administration, Health and Human Services, Social/Care giving, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"RECEPTION WORKER","Are you a friendly and organised individual looking to contribute to a vital community service? We
are seeking compassionate volunteers like you to join our team as Reception Workers, providing
essential support and care to those who seek our services – either in person or through the phone.
Welcome and Assist: As a Volunteer Reception Worker, you will be the first point of contact for our
centre. Your role will involve answering incoming phone calls, directing them to the appropriate staff
members, and taking messages. Additionally, you will have the opportunity to offer a warm cup of
tea and provide comfort to individuals who come in seeking support.
Supporting Families in Need: Your contribution goes beyond the reception desk. You will also assist
in sorting food items for families and providing assistance with filing, ensuring our operations run
smoothly. By helping with these tasks, you directly contribute to the well-being of those we serve.
Make a Difference Today: By volunteering your time and skills as a Reception Worker, you have the
power to create a welcoming and supportive environment for those seeking our services. Your
dedication will help us continue providing vital assistance to individuals and families in need.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Social/Care giving, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
